key,summary
GENSIX-70986,[Settings]: Focus is getting changed after closing the Menu option.
GENSIX-70980,[Voice Memo] The Voice Memo recorded files count is getting mismatched on the Home icon screen.
GENSIX-70958,[OSD/POPUP] BT popup is not getting closed and osd is not displayed in split screen while starting voice memo recording.
GENSIX-70957,"[Popup]""Please use a USB cable to connect...""popup is closing after cancelling the BT connection popup"
GENSIX-70956,[Keypad]Alignment issue is observed in the setup search screen
GENSIX-70955,[Home] : Language is not changing properly when language is set to 'Magyar'.
GENSIX-70953,[Voice Memo]: Focus is not appearing at the same option while recording Voice Memo on performing RVC ON and OFF.
GENSIX-70950,[keypad] Default Focus is not proper in keyboard screen
GENSIX-70949,[Keypad] On performing RRC Push Dail[Up] Focus is not shifting to the input Text Field in Navigation Keypad Screen.
GENSIX-70945,[Keypad]Popup is closing upon performing display on and off
GENSIX-70941,[Settings] : System is not Switching to Keypad Screen on Pressing Back S/K
GENSIX-70939,[Keypad] Blank Button is displayed in Add to Address Book Keypad Screen.
GENSIX-70917,[Split screen] Split screen mode should not change on performing some operation in RVC screen.
GENSIX-70914,[Media]: Focus is not appearing at the same option after making Display off/on.
GENSIX-70912,"[Navigation] : ""Unavailable. Front Seat Used by another Device"" Toast Message is getting Displayed in Navigation Menu Screen on pressing Back S/K from Web Manual Screen"
GENSIX-70909,[Settings] No focus is observed in search setup screen on performing VR on & off
GENSIX-70906,"[Setting]:""Swipe left is not working in Camera setting screen ."""
GENSIX-70905,"[Radio] Band popup is getting closed, after pressing Custom button"
GENSIX-70902,[Home]: Screen is getting freezed on scrolling up the page.
GENSIX-70898,"[OSD/popup] ""This audio format is not supported."" popup is not getting displayed in rear monitors."
GENSIX-70897,[Rear Display]:Able to Enter into Sound Setting Screen On Active Call State.
GENSIX-70896,[Navigation]: Keyboard Alignment is not proper in POI category option screen
GENSIX-70893,[Navigation] Inconsistent behaviour is observed in Map screen.
GENSIX-70887,[Bluetooth]:Different Popup is getting Displayed On Tapping BT Audio On Active Call State.
GENSIX-70816,[Setup] Hard keys are working while resetting display settings in rear screen
GENSIX-70814,"[Climate] The Option menu is not getting opened on performing ""Press & Hold"" ""Menu"" H/K (RRC)."
GENSIX-70813,"[Navigation] Focus gets disappeared in keypad screen , Filling stations and POI category screens on pressing CCP dial left."
GENSIX-70809,"[Navigation]Slow response is observed after tapping on the ""country"" icon"
GENSIX-70808,[Keypad] Scroll Bar should not be displayed upon Tapping Delete Icon in Setup Search Keypad Screen.
GENSIX-70806,[Keypad] : No focus is observed in search set up screen.
GENSIX-70803,"[Weather] The Option menu is not getting opened on performing ""Press & Hold"" ""Menu"" H/K (RRC)."
GENSIX-70798,[Setup] Focus is not proper in search setup screen
GENSIX-70796,[OSD]Feature Unavailable During a Call OSD is displayed in english language even after changing language to portuguese
GENSIX-70795,[Media] : Dual focus is observed in Media screen
GENSIX-70790,"[Setup] The System is entering ""Camera Settings"" screen during IGN OFF state."
GENSIX-70789,[Settings] Focus is not getting retained to the previously selected option.
GENSIX-70788,[CCS] Alert popup closes after pressing custom button
GENSIX-70786,[Radio]: Scanning is in progress in the background after getting the incoming call popup.
GENSIX-70784,[Settings]: No focus is observed in camera settings screen upon RVC ON and OFF
GENSIX-70783,[Setup] String value is displayed in vehicle settings screen for all the languages instead of English and Korea.
GENSIX-70782,[Radio] DAB text is not displayed in radio main play screen
GENSIX-70781,[Car play] : Able to enter Sound setting screen when car play is on active call state.
GENSIX-70780,[VR] Menu Focus is disappearing in VR Navigation screen
GENSIX-70779,[Settings]:Dual focus is observed in camera settings screen upon RVC ON and OFF
GENSIX-70773,[Radio]: Able to scroll the presets on the BT incoming call popup.
GENSIX-70772,"[Setup] ""Language was changed"" Toast popup is not displayed for these languages(Nederlands, Italiano, France, Spanish, English, Deutsch)"
GENSIX-70771,[Navigation] When Modem is Off Alert Option should not be displayed in Navigation Settings Screen
GENSIX-70769,[Setting]:Not able to Enter into Bluetooth Setting Screen.
GENSIX-70762,"[Setting]:""Focus is getting disappeared in search setup screen."""
GENSIX-70761,[CCS] Focus is not retained on selected Option in Genesis live Select Category Screen.
GENSIX-70760,"[Setting]:""Focus is getting changed on performing RVC On/Off."""
GENSIX-70739,"[Navigation] : On Selecting OK option on ""Connected Services"" Popup on Rear , ""Connected Services"" Popup is getting Displayed in Front"
GENSIX-70738,"[Navigation]:""Alignment issue is getting observed in navi keypad screen ."""
GENSIX-70737,[Navigation] : Focus is not retaining on Performing Display Off / On in Fuel Information Screen
GENSIX-70736,"[Navigation] Dual focus is observed on the input fileld and the characters in ""near city centre"" screen"
GENSIX-70733,"[CCS] The Closed popup is exhibited in ""Genesis Live"" screen."
GENSIX-70730,"[Navigation] : Flickering is Observed in ""Export Completed"" Toast Message on Performing Display Off and On"
GENSIX-70728,[Setup]: Focus is not appearing on the Back S/K option after making Display off/on.
GENSIX-70727,[SVM] No focus Observed in Camera Settings Screen.
GENSIX-70726,[Home] Popup closes after making display off->on
GENSIX-70725,"[Voice recognition]Anlogue clock option of split screen menu , is moving slowly upon changing font size to extra large"
GENSIX-70722,[Bluetooth] Making phone calls using speed dial is non-operational.
GENSIX-70721,"[Voice regonition]After performing CCP operations,screen is getting Freezed"
GENSIX-70720,[Setup] Calendar option is not getting displayed in split screen options.
GENSIX-70719,[Split screen] Blank screen is getting displayed in split screen after coming back from display settings.
GENSIX-70718,[Settings]:Keypad is getting freezed on performing CCP dail up in settings screen
